time	angle	speed	accelerator position
127.27	-6.6	51.35625	12
127.28	-6.6	51.35625	12
127.29	-6.6	51.35625	12
127.30	-6.6	51.35625	12
127.31	-6.6	51.49375	12
127.32	-6.6	51.49375	12
127.33	-6.6	51.5625	12
127.34	-6.6	51.5625	12
127.35	-6.6	51.63125	12
127.36	-6.6	51.63125	12
127.37	-6.6	51.63125	12
127.38	-6.6	51.63125	12
127.39	-6.6	51.63125	12
127.40	-6.6	51.63125	12
127.41	-6.6	51.5625	12
127.42	-6.6	51.5625	12
127.43	-6.6	51.49375	12
127.44	-6.6	51.49375	12
127.45	-6.6	51.63125	12
127.46	-6.6	51.63125	12
127.47	-6.6	51.7	12
127.48	-6.6	51.7	12
127.49	-6.6	51.76875	12
127.50	-6.6	51.76875	12
127.51	-6.6	51.8375	11
127.52	-6.6	51.8375	11
127.53	-6.6	51.8375	11
127.54	-6.6	51.8375	11
127.55	-6.6	51.8375	11
127.56	-6.6	51.8375	11
127.57	-6.6	51.8375	11
127.58	-6.6	51.8375	11
127.59	-6.6	51.76875	11
127.60	-6.6	51.76875	11
127.61	-6.6	51.975	11
127.62	-6.6	51.975	11
127.63	-6.6	51.975	11
127.64	-6.6	51.975	11
127.65	-6.6	52.1125	11
127.66	-6.6	52.1125	11
127.67	-6.6	52.04375	11
127.68	-6.6	52.04375	11
127.69	-6.6	52.04375	11
127.70	-6.6	52.04375	11
127.71	-6.6	52.04375	11
127.72	-6.6	52.04375	11
127.73	-6.6	52.04375	11
127.74	-6.6	52.04375	11
127.75	-6.6	51.975	11
127.76	-6.6	51.975	11
127.77	-6.6	52.1125	11
127.78	-6.6	52.1125	11
127.79	-6.6	52.18125	11
127.80	-6.6	52.18125	11
127.81	-6.6	52.25	10
127.82	-6.6	52.25	10
127.83	-6.6	52.31875	10
127.84	-6.6	52.31875	10
127.85	-6.6	52.25	10
127.86	-6.6	52.25	10
127.87	-6.6	52.25	10
127.88	-6.6	52.25	10
127.89	-6.6	52.25	10
127.90	-6.6	52.25	10
127.91	-6.6	52.25	10
127.92	-6.6	52.25	10
127.93	-6.6	52.3875	10
127.94	-6.6	52.3875	10
127.95	-6.6	52.525	10
127.96	-6.6	52.525	10
127.97	-6.6	52.45625	10
127.98	-6.6	52.45625	10
127.99	-6.6	52.45625	10
128.00	-6.6	52.45625	10
128.01	-6.6	52.45625	10
128.02	-6.7	52.45625	10
128.03	-6.7	52.45625	10
128.04	-6.7	52.45625	10
128.05	-6.7	52.3875	10
128.06	-6.7	52.3875	10
128.07	-6.7	52.45625	10
128.08	-6.8	52.45625	10
128.09	-6.8	52.59375	10
128.10	-6.8	52.59375	10
128.11	-6.8	52.6625	10
128.12	-6.8	52.6625	10
128.13	-6.8	52.73125	10
128.14	-6.8	52.73125	10
128.15	-6.9	52.73125	10
128.16	-6.9	52.73125	10
128.17	-6.9	52.6625	10
128.18	-6.9	52.6625	10
128.19	-6.9	52.6625	10
128.20	-6.9	52.6625	10
128.21	-7	52.73125	11
128.22	-7	52.73125	11
128.23	-7.1	52.86875	11
128.24	-7.2	52.86875	11
128.25	-7.2	53.00625	11
128.26	-7.3	53.00625	11
128.27	-7.3	53.00625	11
128.28	-7.3	53.00625	11
128.29	-7.3	53.075	11
128.30	-7.4	53.075	11
128.31	-7.4	53.075	12
128.32	-7.4	53.075	12
128.33	-7.5	53.14375	12
128.34	-7.5	53.14375	12
128.35	-7.6	53.075	12
128.36	-7.6	53.075	12
128.37	-7.6	53.075	12
128.38	-7.6	53.075	12
128.39	-7.6	53.14375	12
128.40	-7.7	53.14375	12
128.41	-7.7	53.2125	13
128.42	-7.7	53.2125	13
128.43	-7.7	53.2125	13
128.44	-7.7	53.2125	13
128.45	-7.8	53.2125	13
128.46	-7.8	53.2125	13
128.47	-7.8	53.28125	13
128.48	-7.8	53.28125	13
128.49	-7.9	53.2125	13
128.50	-7.9	53.2125	13
128.51	-7.9	53.2125	13
128.52	-7.9	53.2125	13
128.53	-7.9	53.35	13
128.54	-7.9	53.35	13
128.55	-7.9	53.4875	13
128.56	-7.9	53.4875	13
128.57	-7.9	53.625	13
128.58	-7.9	53.625	13
128.59	-7.9	53.69375	13
128.60	-7.9	53.69375	13
128.61	-7.9	53.625	15
128.62	-7.9	53.625	15
128.63	-7.9	53.625	15
128.64	-7.9	53.625	15
128.65	-7.9	53.625	15
128.66	-7.9	53.625	15
128.67	-7.9	53.625	15
128.68	-7.9	53.625	15
128.69	-7.9	53.7625	15
128.70	-7.9	53.7625	15
128.71	-7.9	53.83125	16
128.72	-7.9	53.83125	16
128.73	-7.9	53.83125	16
128.74	-7.9	53.83125	16
128.75	-7.9	53.83125	16
128.76	-7.9	53.83125	16
128.77	-7.9	53.7625	16
128.78	-7.9	53.7625	16
128.79	-7.9	53.7625	16
128.80	-7.9	53.7625	16
128.81	-7.9	53.7625	16
128.82	-7.9	53.7625	16
128.83	-7.9	53.96875	16
128.84	-7.9	53.96875	16
128.85	-7.9	54.0375	16
128.86	-7.9	54.0375	16
128.87	-7.9	54.10625	16
128.88	-7.8	54.10625	16
128.89	-7.8	54.175	16
128.90	-7.8	54.175	16
128.91	-7.7	54.175	16
128.92	-7.6	54.175	16
128.93	-7.6	54.175	16
128.94	-7.6	54.175	16
128.95	-7.5	54.10625	16
128.96	-7.5	54.10625	16
128.97	-7.5	54.10625	16
128.98	-7.4	54.10625	16
128.99	-7.3	54.38125	16
129.00	-7.3	54.38125	16
129.01	-7.2	54.45	16
129.02	-7.1	54.45	16
129.03	-7	54.5875	16
129.04	-7	54.5875	16
129.05	-6.9	54.51875	16
129.06	-6.9	54.51875	16
129.07	-6.9	54.45	16
129.08	-6.9	54.45	16
129.09	-6.9	54.38125	16
129.10	-6.9	54.38125	16
129.11	-6.8	54.3125	14
129.12	-6.8	54.3125	14
129.13	-6.7	54.45	14
129.14	-6.6	54.45	14
129.15	-6.5	54.51875	14
129.16	-6.5	54.51875	14
129.17	-6.4	54.65625	14
129.18	-6.3	54.65625	14
129.19	-6.3	54.725	14
129.20	-6.2	54.725	14
129.21	-6.1	54.725	10
129.22	-6.1	54.725	10
129.23	-6	54.65625	10
129.24	-5.9	54.65625	10
129.25	-5.9	54.45	10
129.26	-5.8	54.45	10
129.27	-5.8	54.45	10
129.28	-5.8	54.45	10
129.29	-5.8	54.45	10
129.30	-5.8	54.45	10
129.31	-5.8	54.725	10
129.32	-5.8	54.725	10
129.33	-5.8	54.79375	10
129.34	-5.8	54.79375	10
129.35	-5.7	54.8625	10
129.36	-5.7	54.8625	10
129.37	-5.6	54.79375	10
129.38	-5.6	54.79375	10
129.39	-5.5	54.725	10
129.40	-5.5	54.725	10
129.41	-5.5	54.725	10
129.42	-5.5	54.725	10
129.43	-5.4	54.79375	10
129.44	-5.4	54.79375	10
129.45	-5.4	54.93125	10
129.46	-5.4	54.93125	10
129.47	-5.3	55.06875	10
129.48	-5.2	55.06875	10
129.49	-5.2	55.06875	10
129.50	-5.1	55.06875	10
129.51	-5.1	55.06875	10
129.52	-5	55.06875	10
129.53	-4.9	54.93125	10
129.54	-4.8	54.93125	10
129.55	-4.7	54.8625	10
129.56	-4.7	54.8625	10
129.57	-4.6	55.06875	10
129.58	-4.5	55.06875	10
129.59	-4.5	55.1375	10
129.60	-4.4	55.1375	10
129.61	-4.3	55.20625	10
129.62	-4.2	55.20625	10
129.63	-4.1	55.20625	10
129.64	-4	55.20625	10
129.65	-3.9	55.1375	10
129.66	-3.7	55.1375	10
129.67	-3.6	55.06875	10
129.68	-3.5	55.06875	10
129.69	-3.4	55.06875	10
129.70	-3.3	55.06875	10
129.71	-3.2	55.06875	9
129.72	-3.1	55.06875	9
129.73	-3	55.1375	9
129.74	-2.9	55.1375	9
129.75	-2.9	55.275	9
129.76	-2.9	55.275	9
129.77	-2.8	55.20625	9
129.78	-2.8	55.20625	9
129.79	-2.7	55.20625	9
129.80	-2.6	55.20625	9
129.81	-2.5	55.20625	9
129.82	-2.4	55.20625	9
129.83	-2.3	55.20625	9
129.84	-2.2	55.20625	9
129.85	-2.1	55.20625	9
129.86	-2	55.20625	9
129.87	-1.9	55.34375	9
129.88	-1.8	55.34375	9
129.89	-1.7	55.34375	9
129.90	-1.5	55.34375	9
129.91	-1.4	55.48125	9
129.92	-1.2	55.48125	9
129.93	-1.1	55.48125	9
129.94	-1	55.48125	9
129.95	-0.9	55.48125	9
129.96	-0.8	55.48125	9
129.97	-0.7	55.4125	9
129.98	-0.6	55.4125	9
129.99	-0.5	55.34375	9
130.00	-0.4	55.34375	9
130.01	-0.3	55.48125	9
130.02	-0.2	55.48125	9
130.03	-0.1	55.55	9
130.04	0	55.55	9
130.05	0	55.6875	9
130.06	0	55.6875	9
130.07	0.1	55.6875	9
130.08	0.1	55.6875	9
130.09	0.2	55.61875	9
130.10	0.2	55.61875	9
130.11	0.2	55.55	9
130.12	0.2	55.55	9
130.13	0.3	55.4125	9
130.14	0.3	55.4125	9
130.15	0.3	55.55	9
130.16	0.3	55.55	9
130.17	0.3	55.6875	9
130.18	0.3	55.6875	9
130.19	0.3	55.6875	9
130.20	0.3	55.6875	9
130.21	0.3	55.61875	6
130.22	0.3	55.61875	6
130.23	0.3	55.55	6
130.24	0.3	55.55	6
130.25	0.3	55.61875	6
130.26	0.3	55.61875	6
130.27	0.3	55.61875	6
130.28	0.3	55.61875	6
130.29	0.3	55.6875	6
130.30	0.3	55.6875	6
130.31	0.3	55.825	3
130.32	0.3	55.825	3
130.33	0.3	55.825	3
130.34	0.3	55.825	3
130.35	0.3	55.825	3
130.36	0.2	55.825	3
130.37	0.2	55.825	3
130.38	0.2	55.825	3
130.39	0.2	55.75625	3
130.40	0.2	55.75625	3
130.41	0.1	55.75625	3
130.42	0	55.75625	3
130.43	0	55.6875	3
130.44	-0.1	55.6875	3
130.45	-0.2	55.825	3
130.46	-0.3	55.825	3
130.47	-0.4	55.825	3
130.48	-0.5	55.825	3
130.49	-0.6	55.89375	3
130.50	-0.6	55.89375	3
130.51	-0.7	55.825	3
130.52	-0.8	55.825	3
130.53	-0.8	55.825	3
130.54	-0.8	55.825	3
130.55	-0.9	55.75625	3
130.56	-0.9	55.75625	3
130.57	-0.9	55.6875	3
130.58	-0.9	55.6875	3
130.59	-0.9	55.75625	3
130.60	-0.9	55.75625	3
130.61	-0.9	55.75625	5
130.62	-0.9	55.75625	5
130.63	-0.9	55.89375	5
130.64	-0.9	55.89375	5
130.65	-0.9	55.89375	5
130.66	-0.9	55.89375	5
130.67	-0.9	55.89375	5
130.68	-0.9	55.89375	5
130.69	-0.9	55.825	5
130.70	-0.9	55.825	5
130.71	-0.9	55.75625	5
130.72	-0.9	55.75625	5
130.73	-0.9	55.89375	5
130.74	-0.9	55.89375	5
130.75	-0.9	55.9625	5
130.76	-0.9	55.9625	5
130.77	-0.9	56.1	5
130.78	-0.9	56.1	5
130.79	-0.9	56.1	5
130.80	-0.9	56.1	5
130.81	-0.9	56.03125	8
130.82	-0.9	56.03125	8
130.83	-0.9	55.9625	8
130.84	-0.8	55.9625	8
130.85	-0.8	55.9625	8
130.86	-0.8	55.9625	8
130.87	-0.8	56.16875	8
130.88	-0.8	56.16875	8
130.89	-0.7	56.2375	8
130.90	-0.6	56.2375	8
