time,angle,time,speed,time,accelerator position,time,brake position
124.031560192,-8.8,128.072290048,52.45625,,,,
124.041560064,-8.9,128.092280064,52.59375,,,,
124.051560192,-9.1,128.112410112,52.6625,,,,
124.061560064,-9.2,128.132410112,52.73125,,,,
124.071560192,-9.4,128.152280064,52.73125,,,,
124.0816,-9.5,128.172280064,52.6625,,,,
124.091570176,-9.7,128.19216,52.6625,,,,
124.101560064,-9.9,128.212530176,52.73125,,,,
124.111560192,-10.1,128.23216,52.86875,,,,
124.121570048,-10.2,128.252410112,53.00625,,,,
124.131560192,-10.5,128.27216,53.00625,,,,
124.141560064,-10.6,128.292280064,53.075,,,,
124.151570176,-10.8,128.312150016,53.075,,,,
124.161560064,-11,128.332280064,53.14375,,,,
124.171560192,-11.2,128.352280064,53.075,,,,
124.181580032,-11.4,128.372410112,53.075,,,,
124.191560192,-11.6,128.392150016,53.14375,,,,
124.201570048,-11.7,128.412280064,53.2125,,,,
124.211560192,-11.8,128.43216,53.2125,,,,
124.221560064,-11.9,128.452290048,53.2125,,,,
124.231560192,-12,128.472040192,53.28125,,,,
124.241560064,-12.1,128.492410112,53.2125,,,,
124.251560192,-12.2,128.512150016,53.2125,,,,
124.261560064,-12.3,128.532280064,53.35,,,,
124.271560192,-12.4,128.552030208,53.4875,,,,
124.281580032,-12.5,128.572280064,53.625,,,,
124.291570176,-12.5,128.592280064,53.69375,,,,
124.301560064,-12.5,128.612280064,53.625,,,,
124.311560192,-12.5,128.632030208,53.625,,,,
124.321560064,-12.5,128.652420096,53.625,,,,
124.331560192,-12.6,128.672280064,53.625,,,,
124.341560064,-12.6,128.692400128,53.7625,,,,
124.351560192,-12.6,128.712030208,53.83125,,,,
124.361560064,-12.7,128.732280064,53.83125,,,,
124.371560192,-12.7,128.752030208,53.83125,,,,
124.381570048,-12.7,128.772030208,53.7625,,,,
124.391689984,-12.8,128.792030208,53.7625,,,,
124.401580032,-12.7,128.812280064,53.7625,,,,
124.411560192,-12.8,128.832030208,53.96875,,,,
124.421560064,-12.7,128.852030208,54.0375,,,,
124.431560192,-12.8,128.872280064,54.10625,,,,
124.441560064,-12.7,128.892030208,54.175,,,,
124.451689984,-12.8,128.912030208,54.175,,,,
124.461690112,-12.7,128.932410112,54.175,,,,
124.47168,-12.8,128.952030208,54.10625,,,,
124.481690112,-12.7,128.972400128,54.10625,,,,
124.491689984,-12.7,128.99190016,54.38125,,,,
124.501690112,-12.7,129.012780032,54.45,,,,
124.51168,-12.7,129.032030208,54.5875,,,,
124.521690112,-12.7,129.052030208,54.51875,,,,
124.531689984,-12.7,129.072030208,54.45,,,,
124.541680128,-12.7,129.092030208,54.38125,,,,
124.55168,-12.7,129.11190016,54.3125,,,,
124.561690112,-12.7,129.13190016,54.45,,,,
124.57168,-12.7,129.152030208,54.51875,,,,
124.581730048,-12.6,129.172030208,54.65625,,,,
124.591699968,-12.4,129.19190016,54.725,,,,
124.601690112,-12.2,129.212400128,54.725,,,,
124.61168,-12,129.232030208,54.65625,,,,
